"","id_stanice","prohlidky_celkem","docasne_zpusoblile_pocet","docasne_zpusobile_pct","nezpusobile_pocet","nezpusobile_pct","zpusobile_pocet","zpusobile_pct","blank","prum_poc_zavad_lehke","prum_poc_zavad_vazne","prum_poc_zavad_nebezpecne","druh_stk","psc","mesto","ulice","provozovatel","telefon","email","orp","okres","kraj"
"106",3409,13,3,23.08,0,0,10,76.92,NA,0.46,0.31,0,"NA, TRA, ZS, ADR","362 61","Sadov","Lesov ev.č. 8","TÜV NORD Czech, s.r.o.","353590219","stk-sadov@tuev-nord.cz","Karlovy Vary","Karlovy Vary","Karlovarský kraj"
"107",3410,5633,720,12.78,274,4.86,4639,82.35,NA,2.56,0.57,0.08,"OA, TRA, ZS","350 02","Cheb","Vrázova 2626/16","AUTO - O.K. s.r.o.","354439847","cheb@autook.cz","Cheb","Cheb","Karlovarský kraj"
"108",3411,6436,397,6.17,78,1.21,5961,92.62,NA,2.56,0.13,0.02,"OA, ZS","326 00","Plzeň","Nepomucká 119","STK Nepomucká s.r.o.","377248811","info@stknepomucka.cz","Plzeň-město","Plzeň-město","Plzeňský kraj"
"109",3412,3,0,0,0,0,3,100,NA,3,0,0,"NA, TRA, ZS, ADR","339 01","Klatovy","Dr.Sedláka 778","KLATOVSKÁ STK s.r.o.","376322332","klastk3412@investtel.cz","Klatovy","Klatovy","Plzeňský kraj"
"110",3413,33802,3567,10.55,387,1.14,29848,88.3,NA,2.47,0.23,0.01,"OA, NA, TRA, ZS","326 00","Plzeň","Koterovská 156a","PLZEŇSKÁ STK s.r.o.","377241224","suchy@stk-plzen.cz","Plzeň-město","Plzeň-město","Plzeňský kraj"
"111",3414,2420,302,12.48,34,1.4,2084,86.12,NA,2.88,0.42,0.02,"OA, ZS","336 01","Blovice","Fügnerova 404","DEKRA CZ a.s.","371522754","info@stk-blovice.cz","Blovice","Plzeň-jih","Plzeňský kraj"
"112",3415,11149,908,8.14,80,0.72,10161,91.14,NA,2.87,0.26,0.01,"OA, NA, TRA, ZS, ADR","331 51","Kaznějov","Rybnice 155","STK Rybnice s.r.o.","373300539","uteseny@stk-rybnice.cz","Kralovice","Plzeň-sever","Plzeňský kraj"
"113",3416,13,0,0,1,7.69,12,92.31,NA,1.54,0.23,0.15,"NA, TRA","356 01","Sokolov","Chebská 2239","Sokolovská STK s.r.o.","352467444","sokolovskastk@seznam.cz","Sokolov","Sokolov","Karlovarský kraj"
"114",3417,3997,540,13.51,74,1.85,3383,84.64,NA,2.09,0.32,0.02,"OA, NA, TRA, ZS","353 01","Mariánské Lázně","Tepelská 551","AUTORENT SALON s.r.o.","354623084","stkml@iol.cz","Mariánské Lázně","Cheb","Karlovarský kraj"
"115",3418,0,0,0,0,0,0,0,NA,0,0,0,"NA, TRA","338 05","Mýto","Plzeňská  23","LINKA-STK MÝTO s.r.o.","371750598","stk.myto@tiscali.cz","Rokycany","Rokycany","Plzeňský kraj"
"116",3419,7309,416,5.69,72,0.99,6821,93.32,NA,3.91,0.17,0.02,"OA, NA, TRA, ZS","344 01","Domažlice","Chrastavice 111","KRČMA AUTO s.r.o.","379768242","stk@krcmaauto.cz","Domažlice","Domažlice","Plzeňský kraj"
"117",3420,6048,444,7.34,58,0.96,5546,91.7,NA,2.17,0.2,0.02,"OA, ZS","360 04","Karlovy Vary","Hroznětínská 402/4","TÜV NORD Czech, s.r.o.","353449475-6","stk-bohatice@tuev-nord.cz","Karlovy Vary","Karlovy Vary","Karlovarský kraj"
"118",3421,3933,102,2.59,39,0.99,3792,96.41,NA,1.41,0.05,0.01,"OA, TRA, ZS","364 01","Toužim","Plzeňská 575","F+T AUTO-TECHNIK s.r.o.","353311542","stktouzim@volny.cz","Karlovy Vary","Karlovy Vary","Karlovarský kraj"
"119",3422,2957,328,11.09,18,0.61,2611,88.3,NA,3.49,0.27,0.01,"OA, TRA, ZS","330 27","Vejprnice","Sokolská 705","AUTO LEPIČ, s.r.o.","377826767","stk.lepic@tiscali.cz","Nýřany","Plzeň-sever","Plzeňský kraj"
"120",3423,4025,435,10.81,27,0.67,3563,88.52,NA,3.34,0.32,0.01,"OA, ZS","337 01","Rokycany","Pivovarská 146","JIKE s.r.o.","371729715","stkrokycany@seznam.cz","Rokycany","Rokycany","Plzeňský kraj"
"121",3424,2570,304,11.83,35,1.36,2231,86.81,NA,2.05,0.38,0.02,"OA, TRA, ZS","341 01","Horažďovice","Tyršova 356","Eduard Vrána - EDDY ´ SERVISE","602465322","stk@horazdovice.cz","Horažďovice","Klatovy","Plzeňský kraj"
"122",3425,3459,204,5.9,33,0.95,3222,93.15,NA,1.9,0.22,0.01,"OA, TRA, ZS","331 44","Kožlany","Kožlany 349","M-MEK s.r.o.","373396681","m.mourek@quick.cz","Kralovice","Plzeň-sever","Plzeňský kraj"
"123",3427,5232,277,5.29,24,0.46,4931,94.25,NA,1.54,0.11,0.01,"OA, ZS","334 01","Přeštice","Třída 1. máje 700","STK Přeštice s.r.o.","377982326","info@stkprestice.cz","Přeštice","Plzeň-jih","Plzeňský kraj"
"124",3428,4705,99,2.1,49,1.04,4557,96.85,NA,3.53,0.08,0.02,"OA, TRA, ZS","357 35","Chodov","Vintířovská 1119","Chodovská STK s.r.o.","602 449 989, 352 665 111","stkchodov@seznam.cz","Sokolov","Sokolov","Karlovarský kraj"
"125",3429,1911,165,8.63,32,1.67,1714,89.69,NA,3.29,0.41,0.03,"OA, ZS","352 01","Aš","Anglická 2863","AUTO - O.K. s.r.o.","354595268","as@autook.cz","Aš","Cheb","Karlovarský kraj"
"126",3430,4738,73,1.54,14,0.3,4651,98.16,NA,1.5,0.03,0.01,"OA, ZS","339 01","Klatovy","K Letišti 670","RAMALE s.r.o.","376313906","stk@autorb.cz","Klatovy","Klatovy","Plzeňský kraj"
"127",3431,4080,323,7.92,21,0.51,3736,91.57,NA,3.03,0.23,0.01,"OA, NA, TRA, ZS","348 02","Bor","Plzeňská 667","Miroslav Mansfeld","374625727","stk.mansfeld@atlas.cz","Tachov","Tachov","Plzeňský kraj"
"128",3432,3344,167,4.99,14,0.42,3163,94.59,NA,3.36,0.18,0.01,"OA, TRA, ZS","342 01","Sušice","Nádražní ulice 1302","Pavel Dražka","376323953","info@stksusice.cz","Sušice","Klatovy","Plzeňský kraj"
"129",3433,3402,273,8.02,51,1.5,3078,90.48,NA,5.06,0.22,0.02,"OA, NA, TRA, ZS","349 01","Stříbro","Třída 5. května 1579","AUTO LEPIČ s.r.o.","374627999","stk.stribro@seznam.cz","Stříbro","Tachov","Plzeňský kraj"
"130",3434,11614,496,4.27,24,0.21,11094,95.52,NA,2.87,0.09,0,"OA, ZS","362 11","Jenišov","Daimlerova 271","TYLINGER, s.r.o.","353542121","stkjenisov@seznam.cz","Karlovy Vary","Karlovy Vary","Karlovarský kraj"
"131",3501,3714,580,15.62,79,2.13,3055,82.26,NA,2.8,0.57,0.03,"OA, NA, TRA, ZS","407 46","Krásná Lípa","Alšova 1075/7","CSPSD Praha","412383361","stk3501@seznam.cz","Rumburk","Děčín","Ústecký kraj"
"132",3502,5555,220,3.96,58,1.04,5277,95,NA,4.37,0.09,0.01,"OA, ZS","405 02","Děčín","Předmostí 1839/2","STK Děčín  35.02 a.s.","412588133","stk-decin@ford-homolka.cz","Děčín","Děčín","Ústecký kraj"
"133",3503,3708,390,10.52,75,2.02,3243,87.46,NA,2.64,0.31,0.03,"OA, ZS","441 01","Podbořany","Hlubanská 741","STK-Podbořany s.r.o.","415214362","stk.podborany@quick.cz","Podbořany","Louny","Ústecký kraj"
"134",3504,9112,303,3.33,24,0.26,8785,96.41,NA,3.95,0.11,0,"OA, NA, TRA, ZS, ADR","463 11","Liberec","Tanvaldská 1106","TKV Liberec spol. s r.o.","482737888","info@tkv-liberec.cz","Liberec","Liberec","Liberecký kraj"
"135",3505,9438,951,10.08,69,0.73,8418,89.19,NA,2.29,0.3,0.01,"OA, NA, TRA, ZS","412 01","Litoměřice","U terez. křižovatky 176","S.T.K. Litoměřice s.r.o.","416739016","stk-ltm@iol.cz","Litoměřice","Litoměřice","Ústecký kraj"
"136",3506,6607,556,8.42,79,1.2,5972,90.39,NA,1.98,0.23,0.01,"OA, TRA, ZS","434 01","Most","Budovatelů 624","AUTOPLUS II. CONTROL s.r.o.","476100461","stk3506@autoplusmost.cz","Most","Most","Ústecký kraj"
"137",3507,3324,106,3.19,31,0.93,3187,95.88,NA,4.06,0.11,0.02,"OA, TRA, ZS","439 83","Lubenec","Pražská 375","R + B Auto control, spol. s r.o.","415212296","stk.lubenec@seznam.cz","Podbořany","Louny","Ústecký kraj"
"138",3508,5240,542,10.34,108,2.06,4590,87.6,NA,2.05,0.22,0.03,"OA, TRA, ZS","440 01","Louny","Rybalkova 2765","STK  - O.K. CAR spol. s r.o.","415653467","stk.ok.car@iol.cz","Louny","Louny","Ústecký kraj"
"139",3509,5355,329,6.14,95,1.77,4931,92.08,NA,2.74,0.17,0.03,"OA, ZS","431 51","Klášterec nad Ohří","Průmyslová zóna VERNE 12","ALFA - TECHNIC s.r.o.","474331421","alfa.technic.stk-k@iol.cz; stk.chomutov@seznam.cz","Kadaň","Chomutov","Ústecký kraj"
"140",3510,6925,415,5.99,81,1.17,6429,92.84,NA,3.54,0.18,0.02,"OA, ZS","431 11","Chomutov","Otvice obchodní zóna 252","ALFA - TECHNIC  s.r.o.","474653414","alfa.technic.stk@iol.cz","Chomutov","Chomutov","Ústecký kraj"
"141",3511,6746,838,12.42,74,1.1,5834,86.48,NA,2.57,0.38,0.01,"OA, NA, TRA, ZS","417 03","Dubí - Mstišov","K Emance 291","IVESUR Česká republika a.s.","417571435","stk3511@seznam.cz","Teplice","Teplice","Ústecký kraj"
"142",3512,4719,324,6.87,65,1.38,4330,91.76,NA,5.03,0.21,0.03,"OA, NA, TRA, ZS","473 01","Nový Bor","Liberecká 558","KLIMEX s.r.o.","487754637","novy.bor@stkcl.cz","Nový Bor","Česká Lípa","Liberecký kraj"
"143",3513,9411,506,5.38,249,2.65,8656,91.98,NA,2.88,0.16,0.03,"OA, NA, TRA, ZS, ADR","413 01","Roudnice nad Labem","Žižkova 2483","STK Roudnice n. L. s.r.o.","416831853","jransdorf@raz-dva.cz","Roudnice nad Labem","Litoměřice","Ústecký kraj"
"144",3514,3904,390,9.99,50,1.28,3464,88.73,NA,3.49,0.51,0.02,"OA, NA, TRA, ZS","438 01","Žatec","U Oharky 3093","Stanice technické kontroly Žatec,s.r.o","415711258","info@stkzatec.cz","Žatec","Louny","Ústecký kraj"
"145",3516,12718,916,7.2,269,2.12,11533,90.68,NA,3.26,0.16,0.03,"OA, NA, TRA, ZS","400 02","Ústí nad Labem","Hrbovická 2","Terri s.r.o.","475601147","stk.usti@terri.cz","Ústí nad Labem","Ústí nad Labem","Ústecký kraj"
"146",3517,7433,367,4.94,86,1.16,6980,93.91,NA,3.14,0.18,0.02,"OA, ZS","466 05","Jablonec nad Nisou","Želivského 1","eSTéKá spol. s r.o.","483312131","esteka.jbc@volny.cz","Jablonec nad Nisou","Jablonec nad Nisou","Liberecký kraj"
"147",3518,3322,269,8.1,28,0.84,3025,91.06,NA,3.44,0.21,0.01,"OA, NA, TRA, ZS","466 05","Jablonec nad Nisou","Belgická 5061","DEKRA CZ a.s.","480003607","jablonecka.stk@seznam.cz","Jablonec nad Nisou","Jablonec nad Nisou","Liberecký kraj"
"148",3519,3982,320,8.04,76,1.91,3586,90.06,NA,1.35,0.19,0.03,"OA, ZS","460 01","Liberec","Mrštíkova 2","STEKO LB, spol. s r.o.","485104111","stk@stkliberec.cz","Liberec","Liberec","Liberecký kraj"
"149",3520,7224,542,7.5,171,2.37,6511,90.13,NA,4.2,0.27,0.03,"OA, ZS","435 42","Janov","Podkrušnohorská 8","STK Janov s.r.o.","476741649","info@stkjanov.cz","Litvínov","Most","Ústecký kraj"
"150",3521,5188,305,5.88,50,0.96,4833,93.16,NA,2.36,0.19,0.01,"OA, NA, TRA, ZS, ADR","431 01","Spořice","Spořice 480","HELVE s.r.o.","474623548","stksporice@seznam.cz","Chomutov","Chomutov","Ústecký kraj"
"151",3522,5967,197,3.3,23,0.39,5747,96.31,NA,3.88,0.1,0,"OA, ZS","470 06","Česká Lípa","Žitavská  3112","KLIMEX s.r.o.","487874683","ceska.lipa@stkcl.cz","Česká Lípa","Česká Lípa","Liberecký kraj"
"152",3523,13282,569,4.28,55,0.41,12658,95.3,NA,3.38,0.11,0.01,"OA, NA, TRA, ZS","400 00","Ústí nad Labem","Havířská 360/29","B.K. syn CENTRUM s.r.o.","475504414","alexa@areal-uzin.cz","Ústí nad Labem","Ústí nad Labem","Ústecký kraj"
"153",3524,3296,76,2.31,31,0.94,3189,96.75,NA,1.87,0.04,0.01,"OA, ZS","400 01","Ústí nad Labem","Podhoří 361/2","STK Děčín 35.02 a.s.","475316934","stk@auto-homolka.cz","Ústí nad Labem","Ústí nad Labem","Ústecký kraj"
"154",3525,4163,301,7.23,44,1.06,3818,91.71,NA,2.27,0.17,0.02,"OA, TRA, ZS","470 01","Česká Lípa","Mánesova 1477","AUTORENOVA Plus s.r.o.","487868924","info@stkmanesova.cz","Česká Lípa","Česká Lípa","Liberecký kraj"
"155",3526,5937,513,8.64,51,0.86,5373,90.5,NA,3.58,0.32,0.02,"OA, NA, TRA, ZS","464 01","Raspenava","Frýdlantská 772","FOLDA, s.r.o.","482319126","stk.3526@volny.cz","Frýdlant","Liberec","Liberecký kraj"
"156",3527,3147,395,12.55,37,1.18,2715,86.27,NA,2.58,0.31,0.01,"OA, ZS","405 02","Děčín","Oblouková 1416/9","S.T.K. Litoměřice s.r.o.","412589926","dc.stk@volny.cz","Děčín","Děčín","Ústecký kraj"
"157",3528,6048,227,3.75,23,0.38,5798,95.87,NA,2.46,0.07,0.01,"OA, TRA, ZS","470 01","Česká Lípa","Kovářova 3189","BĚLOHRADSKÝ spol. s r.o.","487831081","stk3528@seznam.cz","Česká Lípa","Česká Lípa","Liberecký kraj"
"158",3529,6364,302,4.75,87,1.37,5975,93.89,NA,2.52,0.14,0.02,"OA, ZS","460 01","Liberec XI-Růžodol I","Londýnská 590/85","KLIMEX s.r.o.","485108325","liberec@stkcl.cz","Liberec","Liberec","Liberecký kraj"
"159",3530,7577,644,8.5,64,0.84,6869,90.66,NA,2.25,0.21,0.01,"OA, TRA, ZS","463 43","Český Dub","Sobotice 15","Jan Červa","485147104","info@stk-ceskydub.cz","Liberec","Liberec","Liberecký kraj"
"160",3531,6414,598,9.32,56,0.87,5760,89.8,NA,2.2,0.21,0.01,"OA, TRA, ZS","415 01","Teplice","V Lipách 3275","BĚLOHRADSKÝ spol. s r.o.","417535386","stk3531@seznam.cz","Teplice","Teplice","Ústecký kraj"
"161",3532,4005,458,11.44,66,1.65,3481,86.92,NA,1.89,0.29,0.02,"OA, NA, TRA, ZS","412 01","Litoměřice","U Trati 2213","IVESUR Česká republika a.s.","416535500","stk3532@seznam.cz","Litoměřice","Litoměřice","Ústecký kraj"
"162",3533,1403,194,13.83,15,1.07,1194,85.1,NA,3.53,0.28,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",3601,4899,805,16.43,57,1.16,4037,82.4,NA,4.09,0.59,0.02,"OA, NA, TRA, ZS","541 02","Trutnov","Mladobucká 483","CSPSD Praha","499732913","stktrutnov@volny.cz","Trutnov","Trutnov","Královéhradecký kraj"
"164",3603,7576,716,9.45,254,3.35,6606,87.2,NA,3.19,0.3,0.05,"OA, ZS","580 01","Havlíčkův Brod","Lidická 3974","STK HB s.r.o.","569429900","stkhb@stkhb.cz","Havlíčkův Brod","Havlíčkův Brod","Vysočina"
"165",3604,4670,840,17.99,99,2.12,3731,79.89,NA,3.67,0.65,0.03,"OA, ZS","560 02","Česká Třebová","Podbranská 2047","DEKRA CZ a.s.","465531007","stkct@seznam.cz","Česká Třebová","Ústí nad Orlicí","Pardubický kraj"
"166",3605,6068,535,8.82,322,5.31,5211,85.88,NA,3.93,0.4,0.11,"OA, TRA, ZS","537 01","Chrudim","Vlčnov 30","KVATRO CHRUDIM spol. s r.o.","722110011","stkchrudim@seznam.cz","Chrudim","Chrudim","Pardubický kraj"
"167",3606,7170,380,5.3,173,2.41,6617,92.29,NA,3.48,0.15,0.03,"OA, TRA, ZS","506 01","Jičín","Hradecká 1122","AGRO SLATINY a.s.","493555055","stk@jicinet.cz","Jičín","Jičín","Královéhradecký kraj"
"168",3607,3434,494,14.39,37,1.08,2903,84.54,NA,2.54,0.41,0.01,"OA, ZS","516 01","Rychnov nad Kněžnou","Soukenická 242","STK Solnice s.r.o.","494596255","info@stkrk.cz","Rychnov nad Kněžnou","Rychnov nad Kněžnou","Královéhradecký kraj"
"169",3608,2950,237,8.03,65,2.2,2648,89.76,NA,1.93,0.32,0.04,"OA, ZS","549 01","Nové Město nad Metují","Krátká 419","DETECHA-chemické výrobní družstvo","491470314","stk@detecha.cz","Nové Město nad Metují","Náchod","Královéhradecký kraj"
"170",3609,16278,1127,6.92,127,0.78,15024,92.3,NA,2.63,0.15,0.01,"OA, ZS","500 02","Hradec Králové","Na Rybárně 203","OLFIN Car - STK s.r.o.","495537011","stk@olfincar.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"171",3610,5422,299,5.51,31,0.57,5092,93.91,NA,3.03,0.15,0.01,"OA, NA, TRA, ZS, ADR","533 53","Pardubice","Hradišťská 551","Autokontrol Pardubice s.r.o.","466415536","info@autokontrol.cz","Pardubice","Pardubice","Pardubický kraj"
"172",3611,1,1,100,0,0,0,0,NA,2,1,0,"NA, TRA","516 01","Rychnov nad Kněžnou","Ekologická 348","FAMA - STK, s.r.o.","494533867","stkfama@iex.cz","Rychnov nad Kněžnou","Rychnov nad Kněžnou","Královéhradecký kraj"
"173",3612,8111,899,11.08,148,1.82,7064,87.09,NA,3.63,0.42,0.03,"OA, ZS","568 02","Svitavy","Petrusova 2","STK SVITAVY s.r.o.","461534195","stk.svitavy@tiscali.cz","Svitavy","Svitavy","Pardubický kraj"
"174",3613,0,0,0,0,0,0,0,NA,0,0,0,"NA, TRA, ZS, ADR","562 03","Ústí nad Orlicí","Třebovská 348","Střední škola automobilní Ústí nad Orlicí","468002669","bartos@skola-auto.cz","Ústí nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
"175",3614,7127,829,11.63,84,1.18,6214,87.19,NA,4.47,0.36,0.02,"OA, NA, TRA, ZS","552 03","Česká Skalice","Jiřinková 276","FARMET STK spol s r.o.","491 452 624, 491 452 155","i.martinec@farmet.cz","Náchod","Náchod","Královéhradecký kraj"
"176",3615,1,0,0,0,0,1,100,NA,5,0,0,"NA, TRA, ZS","506 01","Jičín","Průmyslová 1256","AGRO SLATINY a.s.","493522434","stk.nakladni.jicin@quick.cz","Jičín","Jičín","Královéhradecký kraj"
"177",3616,3,0,0,0,0,3,100,NA,4,0,0,"NA, TRA, ZS","568 02","Svitavy","V Zahrádkách 1","Autokontrol Pardubice s.r.o.","461532664","stk.svitavy@autokontrol.cz","Svitavy","Svitavy","Pardubický kraj"
"178",3617,8806,624,7.09,119,1.35,8063,91.56,NA,2.69,0.18,0.02,"OA, NA, TRA, ZS","511 01","Turnov","Nudvojovická 1681","STK Turnov, s.r.o.","481325637","stkturnov@tiscali.cz","Turnov","Semily","Liberecký kraj"
"179",3618,9629,910,9.45,73,0.76,8646,89.79,NA,3.52,0.24,0.01,"OA, NA, TRA, ZS","500 03","Hradec Králové","Bratří Štefanů 492","MEDIS HOLDING a.s.","495544875","stk@medis.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"180",3619,9310,636,6.83,167,1.79,8507,91.37,NA,5.38,0.18,0.03,"OA, ZS","533 01","Pardubice","Průmyslová 381","STK ZADINA, spol.s r.o.","466 670 165","stk-zadina@volny.cz","Pardubice","Pardubice","Pardubický kraj"
"181",3620,8618,360,4.18,66,0.77,8192,95.06,NA,2.35,0.14,0.01,"OA, TRA, ZS","537 01","Chrudim","Dašická 248","Z-MOTOR s.r.o.","469 626 117","stk@z-motor.cz","Chrudim","Chrudim","Pardubický kraj"
"182",3621,2892,281,9.72,67,2.32,2544,87.97,NA,2.12,0.33,0.03,"OA, TRA, ZS","512 11","Vysoké nad Jizerou","Dr. Farského 300","Integrovaná střední škola","481 593 907","fsalda@iss-vysokenj.cz","Semily","Semily","Liberecký kraj"
"183",3622,9503,597,6.28,315,3.31,8591,90.4,NA,5.01,0.17,0.04,"OA, NA, TRA, ZS","533 54","Pardubice","Semtín 100","FONTES STK s.r.o.","466 415 861","fontesstk@volny.cz","Pardubice","Pardubice","Pardubický kraj"
"184",3623,6837,418,6.11,134,1.96,6285,91.93,NA,5.52,0.23,0.05,"OA, NA, TRA, ZS","549 12","Vysokov","Českoskalická 1743","AUTOTEST-TKMV, s.r.o.","491421859","novak@autotest-tkmv.cz","Náchod","Náchod","Královéhradecký kraj"
"185",3624,2817,488,17.32,41,1.46,2288,81.22,NA,3.78,0.6,0.02,"OA, TRA, ZS","544 01","Dvůr Králové nad Labem","Nedbalova 573","DEKRA CZ  a.s.","499 622 506, 499 320 540","stkdk@dekra.cz","Dvůr Králové nad Labem","Trutnov","Královéhradecký kraj"
"186",3625,5767,575,9.97,126,2.18,5066,87.84,NA,3.52,0.35,0.04,"OA, ZS","566 01","Vysoké Mýto","Vraclavská 523","AUTOTEST-STK Vysoké Mýto s.r.o.","465 420 738","stk.vysokemyto@email.cz","Vysoké Mýto","Ústí nad Orlicí","Pardubický kraj"
"187",3626,3519,305,8.67,16,0.45,3198,90.88,NA,3.6,0.3,0.01,"OA, NA, TRA, ZS","580 01","Havlíčkův Brod","Baštinov 126","STK NOVÁK HB s.r.o.","569 438 200","mnovak@stknovak.cz","Havlíčkův Brod","Havlíčkův Brod","Vysočina"
"188",3627,4364,450,10.31,27,0.62,3887,89.07,NA,6.24,0.36,0.02,"OA, TRA, ZS","503 03","Smiřice","Seligerova 147","KUTÍK STK, spol. s r.o.","495 421 828","kutik.stk@tiscali.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"189",3628,4288,658,15.35,63,1.47,3567,83.19,NA,3.88,0.57,0.02,"OA, TRA, ZS","561 64","Jablonné nad Orlicí","U Koupaliště 180","STK Jablonné s.r.o.","465 642 945","machacek@dekra.cz","Žamberk","Ústí nad Orlicí","Pardubický kraj"
"190",3629,3221,209,6.49,54,1.68,2958,91.83,NA,3.29,0.17,0.02,"OA","583 01","Chotěboř","U Střelnice 1724","STK Chotěboř, s.r.o.","569621286","technickakontrola3629@seznam.cz","Chotěboř","Havlíčkův Brod","Vysočina"
"191",3630,7345,532,7.24,94,1.28,6719,91.48,NA,2.6,0.19,0.02,"OA, ZS","503 15","Nechanice","Sovětice 19","STK Sovětice CZ, s.r.o.","495446127","stksovetice@centrum.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"192",3631,2290,278,12.14,95,4.15,1917,83.71,NA,4.13,0.46,0.07,"OA, TRA, ZS","516 01","Rychnov nad Kněžnou","Solnice-Ještětice 110","DEKRA CZ a.s.","494 596 441","stk-jestetice@dekra-automobil.cz","Rychnov nad Kněžnou","Rychnov nad Kněžnou","Královéhradecký kraj"
"193",3632,7759,514,6.62,155,2,7090,91.38,NA,5.17,0.22,0.05,"OA, TRA, ZS","539 01","Hlinsko","Poličská 1365","JUTEX s.r.o.","469312003","stk-hlinsko@dekra-automobil.cz","Hlinsko","Chrudim","Pardubický kraj"
"194",3633,6578,1069,16.25,55,0.84,5454,82.91,NA,4.49,0.52,0.01,"OA, TRA, ZS","562 06","Ústí nad Orlicí","Letohradská 100","STK Ústí s.r.o.","465520174","info@stkusti.cz","Ústí nad Orlicí","Ústí nad Orlicí","Pardubický kraj"
"195",3634,3768,481,12.77,25,0.66,3262,86.57,NA,3.83,0.37,0.01,"OA, TRA, ZS","539 73","Skuteč","Vilibalda Svobody 948","Jiří Vincenci","469351210","stkvincenci@seznam.cz","Chrudim","Chrudim","Pardubický kraj"
"196",3635,6021,688,11.43,70,1.16,5263,87.41,NA,2.84,0.36,0.02,"OA, TRA, ZS","543 01","Vrchlabí","Na Bělidle 1652","MJ Vrchlabí spol. s r.o.","499692899","stk.vrchlabi@centrum.cz","Vrchlabí","Trutnov","Královéhradecký kraj"
"197",3636,3048,399,13.09,40,1.31,2609,85.6,NA,3.48,0.35,0.02,"OA, ZS","503 51","Chlumec nad Cidlinou","Pražská 782/IV","PRO AUTO LOUDA s.r.o.","495484594","stk.chlumec@tiscali.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"198",3637,4840,710,14.67,70,1.45,4060,83.88,NA,2.62,0.43,0.02,"OA, TRA, ZS","514 01","Jilemnice","K Javorku 982","Jiří Machek - HYDROMA","481 545 300","stk.jilemnice@centrum.cz","Jilemnice","Semily","Liberecký kraj"
"199",3638,3743,251,6.71,270,7.21,3222,86.08,NA,3.84,0.25,0.08,"OA, TRA, ZS","503 51","Nový Bydžov","Jungmanova 1736","AGRO SLATINY a.s.","495490198","stk.novy.bydzov@quick.cz","Nový Bydžov","Hradec Králové","Královéhradecký kraj"
"200",3639,5463,375,6.86,21,0.38,5067,92.75,NA,3.64,0.24,0.01,"OA, TRA, ZS","503 46","Třebechovice pod Orebem","Pardubická 1338","amcontrol s.r.o.","495591283","amcontrol@centrum.cz","Hradec Králové","Hradec Králové","Královéhradecký kraj"
"201",3640,6658,559,8.4,100,1.5,5999,90.1,NA,4.82,0.28,0.02,"OA, ZS","541 01","Trutnov","Horská 932","STK Trutnov s.r.o.","499309199","stk@stk-trutnov.cz","Trutnov","Trutnov","Královéhradecký kraj"
"202",3641,3569,451,12.64,65,1.82,3053,85.54,NA,2.97,0.4,0.02,"OA, TRA, ZS","549 83","Jetřichov","Meziměstí 3","KUTÍK STK, spol. s r.o.","491582041","kutik.stk.jetrichov@seznam.cz","Broumov","Náchod","Královéhradecký kraj"
"203",3642,5598,477,8.52,71,1.27,5050,90.21,NA,3.47,0.31,0.02,"OA, ZS","566 01","Vysoké Mýto","Vračovice 1","STK a SME Vračovice s.r.o.","465320634","stk.vracovice@vysokemyto.cz","Vysoké Mýto","Ústí nad Orlicí","Pardubický kraj"
"204",3643,4245,371,8.74,56,1.32,3818,89.94,NA,4.2,0.28,0.02,"OA, ZS","533 52","Pardubice","Fáblovka 404","Autocheck s.r.o.","466 265 323","info@stk-autocheck.cz","Pardubice","Pardubice","Pardubický kraj"
"205",3644,2418,159,6.58,4,0.17,2255,93.26,NA,3.56,0.21,0,"OA","568 02","Svitavy","Dimitrovova 2","Ing. Glena Rauerová","461 619  920","info@stk-carnova.cz","Svitavy","Svitavy","Pardubický kraj"
"206",3645,2035,284,13.96,59,2.9,1692,83.14,NA,2,0.49,0.04,"OA, ZS","516 01","Rychnov nad Kněžnou","Pod Budínem 1699","DEKRA CZ a.s.","494 620 226","stk-rychnov@dekra-automobil.cz","Rychnov nad Kněžnou","Rychnov nad Kněžnou","Královéhradecký kraj"
"207",3646,2795,430,15.38,124,4.44,2241,80.18,NA,4.41,0.57,0.06,"OA, ZS","571 01","Moravská Třebová","Svitavská 1610","ABERA spol. s r.o.","461315566","mt@abera.cz","Moravská Třebová","Svitavy","Pardubický kraj"
"208",3647,5222,274,5.25,114,2.18,4834,92.57,NA,3.87,0.16,0.03,"OA, ZS","537 03","Chrudim","Obce Ležáků 758","SALIO s.r.o.","469 318 192","info@stk-salio.cz","Chrudim","Chrudim","Pardubický kraj"
"209",3648,4371,416,9.52,37,0.85,3918,89.64,NA,3.05,0.3,0.01,"OA","509 01","Nová Paka","Kumburský Újezd čp. 90","All Cars Nová Paka s.r.o.","725699599","info@stknp.cz","Nová Paka","Jičín","Královéhradecký kraj"
